line name,index,capacity,weather longitude,weather latitude,avg temperature (deg C),std dev temperature,avg wind speed
MOR-TS 81,1,132,116,-30.75,18.22131858,7.140788491,4.129349106
MOR-TS 81,2,132,116,-30.5,18.24103536,7.18195857,4.100552677
MOR-TS 81,3,132,116,-30.25,18.44658669,7.425809831,4.055118052
MOR-TS 81,4,132,116,-30,18.73274652,7.458004718,4.167927351
MOR-TS 81,5,132,116,-29.75,18.94336709,7.469180677,4.159721957
MOR-TS 81,6,132,116,-29.75,18.94336709,7.469180677,4.159721957
MOR-TS 81,7,132,115.75,-29.5,19.22114918,7.363287317,4.36383281
MOR-TS 81,8,132,115.75,-29.5,19.22114918,7.363287317,4.36383281
